f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f
5.0941e+000 2.80635e+004 179.844 0.00000e+000 0.000 6.66673e-001 -0.052 0.00000e+000 0.000 2.53908e-001 -179.847 1.00000e+000 0.000 2.90567e+002 -0.156 0.00000e+000 0.000 3.59297e-008 -90.156 4.87719e-014 -89.920 2.80635e+000 179.844 3.50794e+000 -0.156
5.2140e+000 2.80635e+004 179.840 0.00000e+000 0.000 6.66673e-001 -0.053 0.00000e+000 0.000 2.53908e-001 -179.844 1.00000e+000 0.000 2.90567e+002 -0.160 0.00000e+000 0.000 3.67751e-008 -90.160 4.99195e-014 -89.918 2.80635e+000 179.840 3.50794e+000 -0.160
5.3367e+000 2.80635e+004 179.836 0.00000e+000 0.000 6.66673e-001 -0.054 0.00000e+000 0.000 2.53908e-001 -179.840 1.00000e+000 0.000 2.90567e+002 -0.164 0.00000e+000 0.000 3.76405e-008 -90.164 5.10942e-014 -89.916 2.80635e+000 179.836 3.50794e+000 -0.164
5.4623e+000 2.80635e+004 179.833 0.00000e+000 0.000 6.66673e-001 -0.056 0.00000e+000 0.000 2.53908e-001 -179.836 1.00000e+000 0.000 2.90567e+002 -0.167 0.00000e+000 0.000 3.85262e-008 -90.167 5.22965e-014 -89.914 2.80635e+000 179.833 3.50794e+000 -0.167
5.5908e+000 2.80635e+004 179.829 0.00000e+000 0.000 6.66673e-001 -0.057 0.00000e+000 0.000 2.53908e-001 -179.832 1.00000e+000 0.000 2.90567e+002 -0.171 0.00000e+000 0.000 3.94327e-008 -90.171 5.35271e-014 -89.912 2.80635e+000 179.829 3.50794e+000 -0.171
5.7224e+000 2.80635e+004 179.825 0.00000e+000 0.000 6.66673e-001 -0.058 0.00000e+000 0.000 2.53908e-001 -179.828 1.00000e+000 0.000 2.90567e+002 -0.175 0.00000e+000 0.000 4.03606e-008 -90.175 5.47867e-014 -89.910 2.80635e+000 179.825 3.50794e+000 -0.175
5.8570e+000 2.80635e+004 179.821 0.00000e+000 0.000 6.66673e-001 -0.060 0.00000e+000 0.000 2.53909e-001 -179.824 1.00000e+000 0.000 2.90567e+002 -0.179 0.00000e+000 0.000 4.13103e-008 -90.179 5.60759e-014 -89.908 2.80635e+000 179.821 3.50794e+000 -0.179
5.9948e+000 2.80635e+004 179.816 0.00000e+000 0.000 6.66673e-001 -0.061 0.00000e+000 0.000 2.53909e-001 -179.820 1.00000e+000 0.000 2.90567e+002 -0.184 0.00000e+000 0.000 4.22824e-008 -90.184 5.73954e-014 -89.906 2.80635e+000 179.816 3.50794e+000 -0.184
6.1359e+000 2.80635e+004 179.812 0.00000e+000 0.000 6.66673e-001 -0.062 0.00000e+000 0.000 2.53909e-001 -179.816 1.00000e+000 0.000 2.90567e+002 -0.188 0.00000e+000 0.000 4.32773e-008 -90.188 5.87460e-014 -89.904 2.80635e+000 179.812 3.50794e+000 -0.188
6.2803e+000 2.80635e+004 179.808 0.00000e+000 0.000 6.66672e-001 -0.064 0.00000e+000 0.000 2.53909e-001 -179.812 1.00000e+000 0.000 2.90567e+002 -0.192 0.00000e+000 0.000 4.42957e-008 -90.192 6.01284e-014 -89.902 2.80635e+000 179.808 3.50794e+000 -0.192
6.4281e+000 2.80635e+004 179.803 0.00000e+000 0.000 6.66672e-001 -0.065 0.00000e+000 0.000 2.53909e-001 -179.807 1.00000e+000 0.000 2.90567e+002 -0.197 0.00000e+000 0.000 4.53380e-008 -90.197 6.15433e-014 -89.899 2.80635e+000 179.803 3.50794e+000 -0.197
6.5793e+000 2.80635e+004 179.798 0.00000e+000 0.000 6.66672e-001 -0.067 0.00000e+000 0.000 2.53909e-001 -179.803 1.00000e+000 0.000 2.90567e+002 -0.202 0.00000e+000 0.000 4.64048e-008 -90.202 6.29915e-014 -89.897 2.80635e+000 179.798 3.50793e+000 -0.202
6.7342e+000 2.80635e+004 179.794 0.00000e+000 0.000 6.66672e-001 -0.069 0.00000e+000 0.000 2.53910e-001 -179.798 1.00000e+000 0.000 2.90567e+002 -0.206 0.00000e+000 0.000 4.74968e-008 -90.206 6.44737e-014 -89.895 2.80635e+000 179.794 3.50793e+000 -0.206
6.8926e+000 2.80635e+004 179.789 0.00000e+000 0.000 6.66672e-001 -0.070 0.00000e+000 0.000 2.53910e-001 -179.793 1.00000e+000 0.000 2.90566e+002 -0.211 0.00000e+000 0.000 4.86144e-008 -90.211 6.59909e-014 -89.892 2.80635e+000 179.789 3.50793e+000 -0.211
7.0548e+000 2.80635e+004 179.784 0.00000e+000 0.000 6.66672e-001 -0.072 0.00000e+000 0.000 2.53910e-001 -179.788 1.00000e+000 0.000 2.90566e+002 -0.216 0.00000e+000 0.000 4.97583e-008 -90.216 6.75438e-014 -89.890 2.80635e+000 179.784 3.50793e+000 -0.216
7.2208e+000 2.80634e+004 179.779 0.00000e+000 0.000 6.66672e-001 -0.073 0.00000e+000 0.000 2.53910e-001 -179.783 1.00000e+000 0.000 2.90566e+002 -0.221 0.00000e+000 0.000 5.09292e-008 -90.221 6.91332e-014 -89.887 2.80634e+000 179.779 3.50793e+000 -0.221
